,full_name,description,topics,main_language,stars_count,forks_count,open_issues_count
84,thedaviddias/Front-End-Checklist,🗂 The perfect Front-End Checklist for modern websites and meticulous developers,"checklist, css, front-end-developer-tool, front-end-development, frontend, guidelines, html, javascript, lists, reference, resources, web-development",,62815,6080,11
85,nvm-sh/nvm,Node Version Manager - POSIX-compliant bash script to manage multiple active node.js versions,"bash, install, lts, node, node-js, nodejs, nvm, nvmrc, posix, posix-compliant, shell, version-manager, zsh",Shell,62719,6645,365
86,hakimel/reveal.js,The HTML Presentation Framework,"presentations, slides, slideshow",JavaScript,62543,16412,722
87,tailwindlabs/tailwindcss,A utility-first CSS framework for rapid UI development.,"css, css-framework, functional-css, postcss, responsive, tailwindcss, utility-classes",JavaScript,62520,3184,8
88,ripienaar/free-for-dev,"A list of SaaS, PaaS and IaaS offerings that have free tiers of interest to devops and infradev","awesome-list, free-for-developers",HTML,62323,6840,12
89,macrozheng/mall,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于SpringBoot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。,"docker, elasticsearch, elk, java, mongodb, mybatis, mysql, rabbitmq, redis, spring, spring-boot, spring-cloud, spring-security, springboot, springcloud, swagger-ui",Java,62314,25931,33
90,webpack/webpack,"A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff.","amd, build-tool, commonjs, compiler, es2015, es6, esm, javascript, javascript-compiler, javascript-modules, loaders, module-bundler, plugins, web, web-performance, webpack",JavaScript,62107,8564,350
91,fatedier/frp,A fast reverse proxy to help you expose a local server behind a NAT or firewall to the internet.,"expose, firewall, frp, go, http-proxy, nat, proxy, reverse-proxy, tunnel",Go,62065,10877,103
92,elastic/elasticsearch,"Free and Open, Distributed, RESTful Search Engine","elasticsearch, java, search-engine",Java,61923,22445,3974
93,521xueweihan/HelloGitHub,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub.","awesome, github, hellogithub, python",Python,61633,8227,58
94,netdata/netdata,"Real-time performance monitoring, done right! https://www.netdata.cloud","alerting, analytics, cncf, containers, dashboard, devops, docker, grafana, graphing, graphite, influxdb, iot, kubernetes, monitoring, netdata, notifications, observability, prometheus, statsd, time-series",C,61238,5404,265
95,apple/swift,The Swift Programming Language,,C++,61171,9829,6211
96,pallets/flask,The Python micro framework for building web applications.,"flask, jinja, pallets, python, web-framework, werkzeug, wsgi",Python,61151,15338,8
97,pytorch/pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration,"autograd, deep-learning, gpu, machine-learning, neural-network, numpy, python, tensor",C++,60474,16858,10584
98,florinpop17/app-ideas,A Collection of application ideas which can be used to improve your coding skills.,"applications, coding, hacktoberfest, ideas",,60125,8022,374
99,neovim/neovim,Vim-fork focused on extensibility and usability,"api, c, lua, neovim, nvim, text-editor, vim",Vim Script,59842,4162,1618
